Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0603,2,1uF/10V/X7R,
"C10, C12, C13, C18",0402,4,10nF,
C11,0402,1,1uF,
"C14, C23, C6, C7",0402,4,100nF,
C15,0402,1,470nF,
C16,0402,1,1nF,
C17,0402,1,0.8pF,
"C19, C21",0402,2,1.2pF,
C2,0402,1,0.1uF,
C20,0402,1,0.5pF,
C22,0402,1,100pF,
C4,0402,1,4.7nF,
"C5, C9",0402,2,20pF,
C8,0402,1,4.7uF,
"H1, H2",MountingHole_3.2mm_M3_DIN965_Pad_TopOnly,2,MountingHole,
"J1, J2",PHOENIX_1824543,2,1824543,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Debug,
J4,TAOGLAS_EMPCB.SMAFSTJ.B.HT,1,EMPCB.SMAFSTJ.B.HT,
L1,0402,1,3.0nH,
L2,0402,1,2.5nH,
"R1, R2",0603,2,60 ohm,
R3,0402,1,10k,
R4,0402,1,0R,
SW1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SW_SPST,
SW2,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,SW_SPDT,
U1,TDFN-8-1EP_3x2mm_P0.5mm_EP1.80x1.65mm,1,MCP2557FD-xMNY,
U2,SOT-23-5,1,MIC5504-3.3YM5,
U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32G4A1KEUx,
U4,QFN24_4X4_SEM-L,1,SX1280IMLTRT,
X1,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,ECS-2520MV-xxx-xx,
Y1,TX0369B,1,~,
