Designator,Mid X,Mid Y,Rotation,Layer
C1,182.995,-61.18,90.0,top
C10,179.31,-83.69,0.0,top
C11,179.33,-84.85,0.0,top
C12,191.25,-73.86,90.0,top
C13,192.22,-73.86,90.0,top
C14,186.2,-78.41,180.0,top
C15,186.18,-80.5,180.0,top
C16,190.28,-73.86,90.0,top
C17,193.77,-78.15,270.0,top
C18,187.3,-72.3,180.0,top
C19,195.75,-79.18,270.0,top
C2,183.795,-69.83,90.0,top
C20,197.25,-77.68,0.0,top
C21,197.73,-80.24,270.0,top
C22,199.21,-79.79,0.0,top
C23,189.7923,-81.2023,180.0,top
C3,189.105,-61.13,90.0,top
C4,184.37,-66.2,0.0,top
C5,170.79,-79.39,180.0,top
C6,172.34,-77.45,90.0,top
C7,181.26,-82.32,270.0,top
C8,173.42,-77.44,90.0,top
C9,173.01,-79.42,180.0,top
J1,173.0,-65.25,270.0,top
J2,199.0,-65.25,90.0,top
J3,186.81,-54.45,270.0,top
J4,202.4,-78.3,270.0,top
L1,195.285,-77.68,0.0,top
L2,197.26,-78.74,0.0,top
R1,184.745,-64.87,180.0,top
R2,184.75,-67.5,0.0,top
R3,176.21,-74.97,90.0,top
R4,186.18,-79.46,0.0,top
U1,186.49,-69.84,0.0,top
U2,186.0975,-61.34,0.0,top
U3,177.47,-79.96,0.0,top
U4,190.55,-77.99,270.0,top
X1,172.025,-81.765,0.0,top
Y1,186.8,-73.4,0.0,top
